,,Family (Scientific),Genus,Species (Scientific),Subspecies,Nom català,Species (English)
NEOGNATHAE,,,,,,
,52,Hirundinidae,,,,,,"Swallows, Martins"
,,,320,Riparia,riparia,,Oreneta de ribera,Sand Martin
,,,321,Hirundo,rustica,,Oreneta vulgar,Barn Swallow
,,,322,Ptyonoprogne,rupestris,,Roquerol,Eurasian Crag Martin
,,,323,Delichon,urbicum,,Oreneta cuablanca,Common House Martin
,,,324,Cecropis,daurica,,Oreneta cua-rogenca,Red-rumped Swallow
,,,,,,,,
,53,Cettiidae,,,,,,Cettia Bush Warblers & Allies
,,,325,Cettia,cetti,,Rossinyol bord,Cetti’s Warbler
,,,,,,,,
,54,Aegithalidae,,,,,,Bushtits
,,,326,Aegithalos,caudatus,,Mallerenga cuallarga,Long-tailed Tit
,,,,,,,,
,55,Phylloscopidae,,,,,,Leaf Warblers & Allies
